15030102,REV. DEPREC.ACUM. VEHICULOS Y MAQUINARIAS
15030103,REV. DEPREC.ACUM. OTROS ACTIVOS FIJOS
15040101,REV. DEPREC.ACUM. VEHICULOS TASADOS
15040102,REV. DEP. OTROS TASADOS
16010102,INV.EN OTRAS SOCIEDADES
16010301,INTERESES DIF. LEASING MN LP
16010302,INTERESES DIF. LEASING USD LP
16010303,INTERESES DIF. LEASING UF LP
16010304,INTERESES DIF. PRESTAMOS MN LP
16010305,INTERESES DIF. PRESTAMOS UF LP
16010320,GARANTIAS ARRIENDOS
16010321,DERECHOS DE AGUA
16010322,DERECHOS TRANSO.DE PASAJEROS
16010401,IMPTOS.DIFERIDOS X COBRAR L.P
16010402,ACT.COMPLEM.X IMPTO.DIF.X COBRAR
21010101,PRESTAMOS BANCARIOS MONEDA NACIONAL
21010102,OBLIGACIONES POR LEASING MONEDA NACIONAL
21010103,TARJETA DE CREDITO POR PAGAR MONEDA NACIONAL
21010104,OBLIGACIONES CON FACTORING
21010402,OBLIGACIONES POR LEASING UF
21010501,PRESTAMOS BANCARIOS OTRAS MONEDAS
21010502,OBLIGACIONES POR LEASING OTRAS MONEDAS
21010503,TARJETA DE CREDITO POR PAGAR OTRAS MONEDAS
21010601,PRESTAMOS BANCARIOS L/P PORC. C/P MONEDA NACIONAL
21010602,OBLIGACIONES POR LEASING L/P PORC. C/P MONEDA NACIONAL
21010603,TARJETA DE CREDITO POR PAGAR L/P PORC. C/P MONEDA NACIONAL
21011001,PRESTAMOS BANCARIOS L/P PORC. C/P OTRAS MONEDAS
21011002,OBLIGACIONES POR LEASING L/P PORC. C/P OTRAS MONEDAS
21011003,TARJETA DE CREDITO POR PAGAR L/P PORC. C/P OTRAS MONEDAS
21011101,DIVIDENDOS POR PAGAR
21011301,PROVEEDORES
21011401,DOCUMENTOS POR PAGAR
21011402,RENDICIONES POR PAGAR
21011403,LETRAS POR PAGAR
21011404,BOLETAS GARANTIAS
21011405,CHEQUES GIRADOS Y NO COBRADOS
21011406,SEGUROS POR PAGAR
21011410,CHEQUES PROTESTADOS
21011420,ACREEDORES VARIOS
21011521,*vip class*
21011601,IVA DEBITO FISCAL
21011602,IMPUESTO UNICO TRABAJADORES
21011603,RETENCION IMPTO. 2a CATEGORIA
21011604,PPM POR PAGAR
21011605,IVA POR PAGAR
21011606,OTROS IMPUESTOS POR PAGAR
21011701,REMUNERACIONES X PAGAR
21011703,FINIQUITO POR PAGAR
21011704,A.F.P.
21011705,ISAPRES
21011706,C.C.A.F. LOS ANDES
21011707,INP.
21011708,MUTUAL DE SEGURIDAD POR PAGAR
21011709,CREDITO C.C.A.F. LOS ANDES
21011710,CREDITO C.C.A.F. LA ARAUCANA
21011711,SEGURO DE VIDA POR PAGAR
21011712,SEGURO DE SALUD POR PAGAR
21011713,RETENCION JUDICIAL
21011714,CUOTAS SINDICATOS
21011715,SEGURO DE CESANTIA
21011716,CCAF LOS HEROES
21011717,BIENESTAR PERSONAL
21011718,PRESTAMOS FINANCIERAS AL PERSONAL
21011719,COOPERATIVA NORTE GRANDE
21011801,PROVISION FACTURAS PROVEEDORES
21011802,PROVISION VACACIONES
21011803,PROVISION INDEMNIZACIONES
21011804,PROVISION GRATIFICACION
21011805,PROVISION CONTINGENCIAS LEGALES
21011820,PROVISIONES VARIAS
21011901,PROVISION IMPUESTO A LA RENTA
21012001,ANTICIPO CLIENTES
21012003,ANTICIPO VENTA DE VEHICULO
21012101,IMPTOS.DIFERIDOS X PAGAR C.P
21012102,PAS.COMP.IMPTO.DIF.X PAGAR CP
22010101,PRESTAMOS BANCARIOS L/P MONEDA NACIONAL
22010102,OBLIGACIONES POR LEASING L/P MONEDA NACIONAL
22010103,TARJETA DE CREDITO POR PAGAR L/P MONEDA NACIONAL
22010501,PRESTAMOS BANCARIOS L/P OTRAS MONEDAS
22010502,OBLIGACIONES POR LEASING L/P OTRAS MONEDAS
22010503,TARJETA DE CREDITO POR PAGAR L/P OTRAS MONEDAS
22010601,LETRAS POR PAGAR L/P
22010602,CHEQUES POR PAGAR L/P
22010603,RENDICIONES POR PAGAR L/P
22010604,OTROS DOCUMENTOS POR PAGAR L/P
22010801,IMPTOS.DIFERIDOS X PAGAR L.P
22010802,PAS.COM.IMPTO.DIF.X COBRAR L/P
23010101,INTERES MINORITARIO
30010101,CAPITAL SOCIAL
30010201,RESERVA REV. CAPITAL PROPIO
30010202,RESERVA RETASACIONES TECNICAS
30010203,RESERVA C.M. VALOR LEASING
30010204,OTRAS RESERVAS
30010301,UTILIDADES RETENIDAS
30010501,RESULTADOS ACUMULADOS
30010502,UTILIDAD (PERDIDAS)  DEL EJERCICIO
41010101,INGRESOS POR VENTAS DE PASAJES
41010102,INGRESOS POR VENTAS DE PASAJES CONVENIOS
41010103,INGRESOS POR VENTAS DE PASAJES CAMINO
41010104,INGRESOS POR CONTRATOS DE TRANSPORTES PASAJEROS
41010105,INGRESOS POR SERVICIOS DE CARGAS FACTURAS
41010106,INGRESOS POR SERVICIOS DE CARGAS BOLETAS
41010107,INGRESOS POR SERVICIOS MALETEROS
41010108,INGRESO VENTA DE PASAJES DE TERCEROS
41010109,INGRESO VENTA SERVICIOS ESPECIALES
41010110,INGRESO POR ARRIENDOS DE VEHICULOS
41010201,INGRESOS POR VENTAS DE NEUMATICOS
41010202,INGRESOS POR VENTAS DE LUBRICANTES
41010203,INGRESOS POR VENTAS DE REPUESTOS
41010204,INGRESOS POR VENTAS DE COMBUSTIBLES
41010205,INGRESOS POR VENTAS DE ACCESORIOS INTERIOR BUSES
41010206,INGRESOS POR VENTAS DE ARTICULOS DE OFICINA
41010207,INGRESOS POR VENTAS DE ARTICULOS DE ASEO
41010208,INGRESOS POR VENTAS DE INSUMOS COMPUTACIONALES
41010209,INGRESOS POR VENTAS DE VESTUARIOS
41010210,INGRESOS POR VENTAS DE CASINOS
41010211,INGRESOS POR SERVICIOS DE PUBLICIDAD
41010212,INGRESOS POR SERVICIOS DE TELEFONIA
41010301,INGRESOS POR ARRIENDOS DE INMUEBLES
41010302,INGRESOS POR SUBARRIENDOS DE INMUEBLES
41010303,INGRESOS POR ARRIENDOS DE LOSAS
41010304,INGRESOS POR CONCESIONES
41010305,INGRESOS POR OBRAS DE CONST.E INFRAESTRUCTURAS
41010306,INGRESO POR EXPLOTACION DE BAÑOS
41010307,INGRESO POR EXPLOTACION DE CUSTODIA
41010401,INGRESOS POR VENTAS DE NEBULIZADORES
41010402,INGRESOS POR VENTAS DE PULVERIZADORES
41010403,INGRESOS POR VENTAS DE AZUFRADORAS
41010404,INGRESOS POR VENTAS DE HERBICIDAS
41010405,INGRESOS POR VENTAS DE BAÑOS QUIMICOS
41010406,INGRESOS POR VENTAS DE BARRAS
41010407,INGRESOS POR VENTAS DE MOTOCULTORES
41010408,INGRESOS POR VENTAS DE REPUESTOS
41010409,INGRESOS POR SERVICIOS DE REPARACIONES
41010501,INGRESOS POR CAPACITACION
41010601,SERVICIOS ADMINISTRATIVOS Y CONTABLES
41010602,ASESORIAS EN RRHH
41010603,SERVICIOS DE MANTENCION Y SOPORTE
41010604,SERVICIOS MONITOREO
41010605,VENTAS DE EQUIPOS
41010701,VENTA DE VEHICULOS
41010702,VENTA DE INMUEBLES
41010901,INDEMNIZACIONES SEGUROS
41010950,OTROS INGRESOS
51010101,COSTO VENTA DE PASAJES
51010102,COSTO VENTA DE PASAJES CONVENIOS
51010103,COSTO VENTA DE PASAJES CAMINO
51010104,COSTO VENTA DE TRANSPORTES PASAJEROS
51010105,COSTO POR SERVICIOS DE CARGAS FACTURAS
51010106,COSTO POR SERVICIOS DE CARGAS BOLETAS
51010107,COSTO POR SERVICIOS MALETEROS
51010108,COSTO DE VENTA POR VENTA DE PASAJES DE TERCEROS
51010109,COSTO DE VENTA POR  SERVICIOS ESPECIALES
51010201,COSTO VENTA DE NEUMATICOS
51010202,COSTO VENTA DE LUBRICANTES
51010203,COSTO VENTA DE REPUESTOS
51010204,COSTO VENTA DE COMBUSTIBLES
51010205,COSTO VENTA DE ACCESORIOS INTERIOR BUSES
51010206,COSTO VENTA DE ARTICULOS DE OFICINA
51010207,COSTO VENTA DE ARTICULOS DE ASEO
51010208,COSTO VENTA DE INSUMOS COMPUTACIONALES
51010209,COSTO VENTA DE VESTUARIOS
51010210,COSTO VENTA DE CASINOS
51010211,COSTO POR SERVICIOS DE PUBLICIDAD
51010212,COSTO POR SERVICIOS DE TELEFONIA
51010301,COSTO VENTA POR ARRIENDOS DE INMUEBLES
51010302,COSTO VENTA POR SUBARRIENDOS DE INMUEBLES
51010303,COSTO VENTA POR ARRIENDOS DE LOSAS
51010304,COSTO VENTA POR CONCESIONES
51010305,COSTO VENTA POR OBRAS DE CONST.E INFRAESTRUCTURAS
51010306,COSTO DE VENTA POR EXPLOTACION DE BAÑOS
51010307,COSTO DE VENTA POR EXPLOTACION DE CUSTODIA
51010401,COSTO VENTA DE NEBULIZADORES
51010402,COSTO VENTA DE PULVERIZADORES
51010403,COSTO VENTA DE AZUFRADORAS
51010404,COSTO VENTA DE HERBICIDAS
51010405,COSTO VENTA DE BAÑOS QUIMICOS
51010406,COSTO VENTA DE BARRAS
51010407,COSTO VENTA DE MOTOCULTORES
51010408,COSTO VENTA DE REPUESTOS
51010409,COSTO POR SERVICIOS DE REPARACIONES
51010501,COSTOS POR CAPACITACION
